Main-Item,Number of Triples,Summary 1,Target
http://www.wikidata.org/entity/Q699525,4,<start> Trackshittaz estas <rare> el la <rare> <rare> <rare> . <end>,"<start> Trackshittaz estas aŭstria hiphipa muzikgrupa duopo el la regiono Mühlviertel ( "" mueleja kvartalo "" ) de Supra Aŭstrio . <end>"
http://www.wikidata.org/entity/Q9418,10,"<start> psikologio estas <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <PAD> <PAD>","<start> Psikologio , aŭ psiĥologio , estas la scienco kiu studas la homan konduton . <end>"
http://www.wikidata.org/entity/Q745169,6,"<start> Pápakovácsi [ <rare> ] estas malgranda vilaĝo en Hungario , en regiono Okcidenta Transdanubio , en departemento Zala , en subregiono de <rare> . <end>","<start> Pápakovácsi [ pApakovAĉi ] estas malgranda vilaĝo en Hungario , en regiono Meza Transdanubio , en Veszprém ( departemento ) , en subregiono de Pápa . <end>"
http://www.wikidata.org/entity/Q168333,6,<start> Giesensdorf estas komunumo en Germanio . <end>,<start> Giesensdorf estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q912841,9,"<start> 2236 Aŭstrazio estas malbone konata asteroido de la asteroida zono , malkovrita la 0 - an de marto <year> de la germana astronomo Karl Wilhelm Reinmuth elde la Nacia Observatorio de Hejdelbergo - Königstuhl ( Germanio ) . Ĝi estis nomita en honoro de la germana astronomo <rare> <rare> ( <year> – <year> ) . <end>","<start> <year>  Aŭstrazio estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de marto <year>  de la germana astronomo Karl Wilhelm Reinmuth elde la Nacia Observatorio de Hejdelbergo - Königstuhl . Ĝi ŝuldas sian nomon al Aŭstrazio , franka reĝlando de la 0  - a al la 0  - a jarcento , dum la merovida epoko . <end>"
http://www.wikidata.org/entity/Q421678,6,<start> La Malnovurba Placo estas unu el la plej grandaj <rare> de la urbo . <end>,"<start> Malnovurba Placo ( ĉeĥe : Por aŭskulti bv alklaki ĉi ligon "" Staroměstské náměstí "" Staroměstské náměstí ) . <end>"
http://www.wikidata.org/entity/Q538963,5,<start> Bethenhausen estas komunumo en Germanio . <end>,<start> Bethenhausen estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q5364336,5,"<start> Stacio Shin-Asahi ( japane : <rare> [ <rare> ] , angle : <rare> Station ) estas fervoja stacio en <rare> , Gubernio Osaka , Japanio . <end>","<start> Stacio Shin-Asahi ( japane : 新旭駅 [ Ŝin-Asahi-eki ] , angle : Shin-Asahi Station ) estas fervoja stacio en Takaŝima , Gubernio Ŝiga , Japanio . <end>"
http://www.wikidata.org/entity/Q464505,17,"<start> Distrikto Taldom ( <rare> , русский <rare> район ) estas municipa distrikto de <rare> ( Rusio ) . <end>","<start> Distrikto Taldom ( Taldomskij , русский Та ́ лдомский райо ́ н ) estas municipa distrikto de Moskva provinco ( Rusio ) . <end>"
http://www.wikidata.org/entity/Q257735,11,"<start> Szentlászló [ <rare> ] estas malgranda vilaĝo kun titolo vinvilaĝo en Hungario , en regiono Suda Transdanubio , en departemento Baranya , en subregiono de Somogyh\u00E1rs\u00E1gy . <end>","<start> Szentlászló ( sentlAslo ) estas malgranda vilaĝo en Hungario en regiono Suda Hungario , en departemento Baranya , en subregiono de Szigetvár. <end>"
http://www.wikidata.org/entity/Q19369,7,"<start> En la jaro 1054 post Kristo okazis , interalie : <end>","<start> En la jaro <year>  post Kristo okazis , interalie : <end>"
http://www.wikidata.org/entity/Q770787,13,"<start> Giovanni Aurispa ( <year> – <year> ) estis itala <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> kaj <rare> . <end>","<start> Giovanni Aurispa ( 1376-1459 ) ( n. en Noto , Sicilio , 20px Italio - m. en Ferrara , 20px Italio , en majo <year>  ) estis itala humanisto , poeto kaj historiisto . <end>"
http://www.wikidata.org/entity/Q73089,31,"<start> Gene Kelly ( naskiĝis la 0 - an de majo <year> en <rare> , Kalifornio , Usono ) estas usona aktoro . <end>",<start> Gene KELLY ( plennome Eugene Curran KELLY ; n. <end>
http://www.wikidata.org/entity/Q133529,20,<start> Vorkuta ( ruse <rare> ) estas urbo en <rare> provinco en Rusio . <end>,"<start> vidu ankaŭ Vorkuta ( rivero ) Vorkuta ( ruse Воркута ) estas urbo en Rusio en nordo de Komiio , 0  km norde de la Arkta Cirklo , kies nomo devenas de la lingvo de nenecoj , kion oni povas traduki kiel multe da ursoj.Kodo de OKATO de la urbo ( en jaro <year>  ) estas 0  . <end>"
http://www.wikidata.org/entity/Q247637,5,<start> Trongisvágur [ <rare> ] estas urbo sur la insulo <rare> . <end>,<start> Trongisvágur ( dane Trangisvåg ) estas vilaĝo sur insulo Suðuroy de Ferooj . <end>
http://www.wikidata.org/entity/Q1046859,9,"<start> 3433 Fehrenbach estas malbone konata asteroido de la asteroida zono , malkovrita la 0 - an de oktobro <year> de la japana astronomo Tsutomu Seki elde Geisei en la gubernio Koĉi ( Japanio ) . Ĝi estis nomita en honoro de la japana amatora astronomo <rare> <rare> . <end>","<start> 0  Fehrenbach estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de oktobro <year>  en la kadro de la Indianaa Programo pri la Asteroidoj elde la Observatorio Goethe Link , apud Broklino ( Indianao , Usono ) . Ĝia nomo honoras la francan astronomon Charles Fehrenbach ( <year>  – <year>  ) . <end>"
http://www.wikidata.org/entity/Q205594,7,<start> Parkstetten estas komunumo en Germanio . <end>,<start> Parkstetten estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q126826,18,<start> La Aerosmith ( <rare> ) estas la plej granda <rare> <rare> de la mondo . <end>,<start> Aerosmith estas usona rokmuzika bando devenata el Bostono . <end>
http://www.wikidata.org/entity/Q570275,8,<start> Eichen estas komunumo en Germanio . <end>,"<start> Eichen ( prononcu Ajĥn , germana signifo "" kverkoj "" ) estas komunumo en Germanio . <end>"
http://www.wikidata.org/entity/Q248025,4,<start> La Tigrisoma mexicanum aŭ <rare> <rare> ( <rare> <rare> ) estas specio de birdo de la familio de Ikteredoj kaj de ties tipa genro nome Tigrisoma kiu enhavas speciojn kiuj montras flavajn kaj nigrajn kolorojn . <end>,"<start> La Nudkola tigrardeo , Centramerika tigrardeo , aŭ Meksika tigrardeo laŭ la latina scienca nomo Tigrisoma mexicanum , estas vadbirdo de la familio de ardeoj nome Ardeedoj . <end>"
http://www.wikidata.org/entity/Q37033,6,<start> La Konsorcio de la Tut-Tera Teksaĵo ( <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <rare> <PAD> <PAD>,"<start> Konsorcio de la Tut-Tera Teksaĵo ( angle : W3C , mallongigo por World Wide Web Consortium ) estas firmaaro fondita en <year>  . <end>"
http://www.wikidata.org/entity/Q33524,7,"<start> En la jaro 579 post Kristo okazis , interalie : <end>","<start> En la jaro 0  post Kristo okazis , interalie : <end>"
http://www.wikidata.org/entity/Q566863,25,"<start> Das Wachsfigurenkabinett estas franca filmo de Paul Leni , aperinta en <year> . <end>","<start> Das Wachsfigurenkabinett ( esperante "" La vaksfigur-kabineto "" ) estas fantazia kaj horora muta filmo aperinta en <year>  kaj reĝisorita de Paul Leni . <end>"
http://www.wikidata.org/entity/Q671341,16,"<start> Betanzos estas urbeto kaj municipo de la Aŭtonoma Komunumo Andaluzio , en la provinco Almería , sude de Hispanio . La areo de la municipo estas 0 km2 kie loĝas 0 geloĝantoj , do loĝdenso estas 0 loĝ . / km2 . Betanzos situas je 0 km de la provinca ĉefurbo Almería . <end>","<start> Betanzos estas urbo kaj municipo de la provinco Korunjo ( Galegio , Hispanio ) , ĉefurbo de la samnoma regiono . <end>"
http://www.wikidata.org/entity/Q312613,31,<start> Rikardo la 2-a ( n . la 0 - an de septembro <year> - m . la 0 - an de junio <year> ) estis reĝo de Anglio de <year> ĝis <year> . <end>,<start> Rikardo la 0  - a kromnomita la bonulo ( france : le Bon ) ( naskiĝis la 0  - an de aŭgusto 0  ; mortis en <year>  en Fécamp ) estis dua duko de Normandio.Li estis filo de Rikardo la 0  - a kaj de ties edzino Gunnor . <end>
http://www.wikidata.org/entity/Q157645,18,"<start> Deutsche Post AG [ <rare> <rare> ] ( angle : Deutsche Post AG [ <rare> <rare> <rare> ] , "" <rare> "" ) estas la plej granda <rare> <rare> . <end>",<start> La akcia kompanio Deutsche Post AG kun sidejo en Bonno estas la tutmonde plej granda entrepreno pri poŝto kaj loĝistiko . <end>
http://www.wikidata.org/entity/Q123902,16,"<start> Ruth Dreifuss ( naskiĝis la 0 - an de januaro <year> ( nun <rare> 0 ) en Sankt-Galo , Svislando , do nun 0 - jara , do nun 0 - jara ) estas svisa <rare> . <end>","<start> Ruth Dreifuss naskiĝis la 0  - an de januaro <year>  en Sankt-Galo , Svislando . <end>"
http://www.wikidata.org/entity/Q1615444,7,<start> Abaeté estas brazila municipo de subŝtato Minas-Ĝerajso . <end>,"<start> Abaeté estas municipo de la brazila subŝtato Minas-Ĝerajso , kiu taksis 0  enloĝantojn en <year>  . La municipo emancipiĝis en <year>  . <end>"
http://www.wikidata.org/entity/Q158957,19,"<start> Prijanka Ĉopra ( naskiĝis la 0 - an de junio <year> en <rare> , <rare> ) estas brita kantistino kaj kantistino . <end>","<start> Prijanka Ĉopra ( hindie : प ् र ि य ं क ा च ो पड ़ ा , Priyankā Coprā , angle Priyanka Chopra naskiĝis la 0  - an de julio <year>  en Jamŝedpur , Ĝharkhando ) estas barata aktorino en Bollywood . <end>"
http://www.wikidata.org/entity/Q127471,23,"<start> Ashley Michelle TISDALE ( naskiĝis la 0 - an de julio <year> en http://www.wikidata.org/prop/direct/P19 , Usono ) estas usona kantistino kaj kantistino . <end>","<start> Ashley Michelle TISDALE ( Monmouth County , la 0  - an de julio <year>  – ) estas usona aktorino kaj kantistino . <end>"
http://www.wikidata.org/entity/Q1977093,14,"<start> Municipo Budislav situas en Ĉeĥio , regiono Pardubice , distrikto Svitavy , 0 km okcidente de urbo Chot\u011Bnov . <end>","<start> Vilaĝo Budislav situas en Ĉeĥio , regiono Pardubice , distrikto Svitavy , ĉe la ŝoseo n-ro 0  inter Litomyšl kaj Proseč , 0  km oriente de Proseč kaj 0  km okcidente de Dolní Újezd . <end>"
http://www.wikidata.org/entity/Q856571,5,"<start> Stacio Noe ( japane : <rare> [ <rare> ] , angle : <rare> Station ) estas fervoja stacio en Kvartalo <rare> , Osako , Japanio . <end>","<start> Stacio Noe ( japane : 野江駅 [ Noe-eki ] , angle : Noe Station ) estas fervoja stacio en Kvartalo Ĝoto , Osako , Japanio . <end>"
http://www.wikidata.org/entity/Q171730,31,"<start> Clemenceau ( naskiĝis la 0 - an de oktobro <year> ( nun <rare> 0 ) en Mouilleron-en-Pareds , mortis la 0 - an de oktobro <year> en Parizo ) estis franca politikisto . <end>","<start> Georges Benjamin Clemenceau ( 0  - a de septembro <year>  ĉe Mouilleron-en-Pareds , Vendeo - 0  - a de novembro <year>  en Parizo ) estis franca ĵurnalisto kaj politikisto . <end>"
http://www.wikidata.org/entity/Q504311,8,<start> Heigenbrücken estas komunumo en Germanio . <end>,<start> Heigenbrücken estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q734468,9,"<start> 2233 Kuznetsov estas malbone konata asteroido de la asteroida zono , malkovrita la 0 - an de decembro <year> de la ukraina astronomino Ljudmila Vasilievna Ĵuravljova elde la Krimea astrofizika observatorio de Nauĉno en Ukrainio ( en tiama Sovetunio , nun en Aŭtonoma Respubliko Krimeo . <end>","<start> <year>  Kuznetsov estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de decembro <year>  de la ukraina astronomino Ljudmila Vasilievna Ĵuravljova elde la Krimea astrofizika observatorio de Nauĉno en Ukrainio . Ĝia nomo honoras Nikolaj Ivanoviĉ Kuznecov ( cirile Николай Иванович Кузнецов ) , batalinton de la dua mondmilito kaj heroon de Sovetunio . <end>"
http://www.wikidata.org/entity/Q1929327,7,"<start> Itabi estas municipo en la brazila subŝtato Serĝipo , kiu havis 0 loĝantojn en <year> . <end>","<start> Itabi estas municipo en la brazila subŝtato Serĝipo , kiu havis 0  loĝantojn en <year>  . <end>"
http://www.wikidata.org/entity/Q1413,26,"<start> Nerono ( naskiĝis la 0 - an de decembro <year> en Romo , mortis la 0 - an de decembro <year> en Romo ) estis itala imperiestro ekde la 0 - a de majo <year> ĝis la 0 - a de majo <year> . <end>","<start> Nerono , latine : Nero Claudius Caesar Drusus Germanicus Caesar , naskiĝis 0  - an de decembro 0  , mortis 0  - an de junio 0  , naska nomo Lucius Domitius Ahenobarbus , estis romia imperiestro ekde 0  ĝis 0  . <end>"
http://www.wikidata.org/entity/Q1092698,18,"<start> Cassiano RICARDO ( naskiĝis la 0 - an de julio , <year> , mortis la 0 - an de julio , <year> ) estis brazila verkisto . <end>","<start> Cassiano RICARDO ( naskiĝis la 0  - an de julio <year>  en San-Jozefo de la Kampoj ; mortis la 0  - an de januaro <year>  ) estis brazila ĵurnalisto , kritikisto kaj poeto . <end>"
http://www.wikidata.org/entity/Q222390,23,"<start> David GARRICK ( naskiĝis la 0 - an de januaro <year> en Londono , mortis la 0 - an de januaro <year> en Novjorko ) estis brita aktoro . <end>","<start> David GARRICK ( naskiĝis la 0  - an de februaro , <year>  , mortis la 0  - an de januaro , <year>  ) estis angla aktoro kaj dramisto . <end>"
http://www.wikidata.org/entity/Q3889582,5,<start> Santiago Apóstol estas unu el la 0 komunumoj de la meksika subŝtato Oaĥako ( Oaxaca ) . <end>,<start> Santiago Apóstol estas unu el la 0  komunumoj de la meksika subŝtato Oaĥako ( Oaxaca ) . <end>
http://www.wikidata.org/entity/Q39524,30,"<start> Gamal Abdel NASER ( naskiĝis la 0 - an de septembro <year> , mortis la 0 - an de januaro <year> ) , estis reĝo de <year> ĝis <year> . <end>","<start> Gamal Abdel NASER ( dialekte egipta , arabe جمال عبد الناصر , aŭ Ĝamal , naskiĝis en <year>  , mortis en <year>  ) inter la jaroj <year>  kaj <year>  estis la ŝtata prezidanto de Egiptio . <end>"
http://www.wikidata.org/entity/Q1085,31,<start> Prago estas la plej granda urbo de <rare> . <end>,<start> Prago ( ĉeĥe Praha ) estas la ĉefurbo kaj la plej granda urbo de Ĉeĥio . <end>
http://www.wikidata.org/entity/Q1631944,16,"<start> Alamedilla estas vilaĝo kaj municipo de la Aŭtonoma Komunumo Andaluzio , en la provinco de Granada , sude de Hispanio . <end>","<start> Alamedilla estas vilaĝo kaj municipo de la Aŭtonoma Komunumo Andaluzio , en la provinco Granada , sude de Hispanio . <end>"
http://www.wikidata.org/entity/Q694616,7,<start> Steinhorst estas komunumo en Germanio . <end>,<start> Steinhorst estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q207726,6,"<start> kardioido estas <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <PAD> <PAD>","<start> En geometrio , kardioido estas kurbo , epicikloido kun unu kuspo . <end>"
http://www.wikidata.org/entity/Q1038072,6,"<start> Stacio Nishinomiya ( japane : <rare> [ <rare> ] , angle : <rare> Station ) estas fervoja stacio en <rare> , Gubernio Hjogo , Japanio . <end>","<start> Stacio Nishinomiya ( japane : 西宮駅 [ Niŝinomija-eki ] , angle : Nishinomiya Station ) estas fervoja stacio en Nishinomiya , Gubernio Hjogo , Japanio . <end>"
http://www.wikidata.org/entity/Q46728,7,"<start> La fiĝa hinda lingvo ( <rare> : <rare> ) estas <rare> lingvo , parolata en <rare> , <rare> , <rare> , <rare> kaj <rare> . <end>",<start> La fiĝa hinda lingvo estas parolata en Fiĝioj de < 0  milionoj da parolantoj . <end>
http://www.wikidata.org/entity/Q653338,8,<start> Orsfeld estas komunumo en Germanio . <end>,<start> Orsfeld estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q674538,4,<start> Groß Flotow estas komunumo en Germanio . <end>,<start> Groß Flotow estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q1785855,6,"<start> Pinhal estas municipo en la brazila subŝtato Suda Rio-Grando , kiu havis 0 loĝantojn en <year> . <end>","<start> Pinhal estas municipo en la brazila subŝtato Suda Rio-Grando , kiu havis 0  loĝantojn en <year>  . <end>"
http://www.wikidata.org/entity/Q47670,18,<start> Black Sabbath estas brita <rare> grupo el la jaro <year> . <end>,"<start> Black Sabbath estas angla metalroka muzikgrupo , kreita en <year>  en Birmingham , Anglio . <end>"
http://www.wikidata.org/entity/Q16239,12,<start> Veilly estas franca komunumo situa en la departemento Côte-d'Or kaj en la regiono Burgonjo-Franĉkonteo . <end>,"<start> Veilly estas franca komunumo , kiu situas en departemento Orbordo en regiono Burgonjo-Franĉkonteo . <end>"
http://www.wikidata.org/entity/Q1789963,17,<start> Kronoby estas komunumo en la provinco Meza Finnlando de Finnlando . <end>,<start> Kronoby ( en la finna : Kruunupyy ) estas komunumo en la provinco Ostrobotnio de Finnlando . <end>
http://www.wikidata.org/entity/Q553263,6,<start> Windesheim estas komunumo en Germanio . <end>,<start> Windesheim estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q102066,4,"<start> Navigado estas <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <PAD> <PAD>","<start> Navigado ( aŭ navigacio laŭ la 0  - a oficiala aldono al la fundamento de Esperanto ) estas la ago vojaĝi per tiucela veturilo sur maro , lagoj aŭ riveroj , sub la akvosurfaco , en la aero de la tera orbito aŭ en la kosmo , orientiĝi pri la pozicio de la veturilo kaj direkti ties vojon . <end>"
http://www.wikidata.org/entity/Q1067631,5,<start> La Hindia kriaglo aŭ <rare> <rare> ( <rare> <rare> ) estas specio de birdo de la familio de Ikteredoj kaj de ties tipa genro nome Aquila kiu enhavas speciojn kiuj montras flavajn kaj nigrajn kolorojn . <end>,<start> La Hindia kriaglo ( Aquila hastata ) estas granda sudazia rabobirdo . <end>
http://www.wikidata.org/entity/Q25605,10,<start> insulo Bruny estas la plej granda insulo de Aŭstralio . <end>,"<start> La insulo Bruny estas insulo ĉe la sudorienta marbordo de Tasmanio , Aŭstralio , el kiu ĝi estas separata de la Kanalo Dentrekastoa . <end>"
http://www.wikidata.org/entity/Q258766,18,<start> Samuel Butler ( n . la 0 - an de aŭgusto <year> en Londono - m . la 0 - an de aŭgusto <year> en Londono ) estis brita verkisto . <end>,"<start> Por la 0  - jarcenta romanisto Samuel Butler , vidu Samuel Butler ( romanisto ) Samuel BUTLER ( n. la 0  - an de februaro <year>  , m. la 0  - an de septembro <year>  ) estis angla poeto kaj satiristo.Li estis filo de kultivisto kaj edukiĝis en Worcester ĉe la reĝa lernejo . <end>"
http://www.wikidata.org/entity/Q13205,13,<start> La Stadiono de Francio estas unu el la 0 <rare> de Parizo . <end>,"<start> La Stadiono de Francio , aŭ franclingve Stade de France , estas la plej granda franca stadiono : li povas gastigi 0  spektantojn dum futbalaj aŭ rugbeaj maĉoj . <end>"
http://www.wikidata.org/entity/Q6238,20,<start> Amelia estas komunumo de Italio . <end>,<start> Amelia estas komunumo de Italio . <end>
http://www.wikidata.org/entity/Q483382,21,<start> Steve WOZNIAK ( naskiĝis la 0 - an de aŭgusto <year> ) estas usona <rare> kaj <rare> . <end>,<start> Steve WOZNIAK [ sti : v ŭoznijak ] ( naskiĝis 0  - an de aŭgusto <year>  ) estas komputikisto kaj filantropo . <end>
http://www.wikidata.org/entity/Q70444,9,"<start> Gorgier estas komunumo en la distrikto Boudry en Kantono Valezo , Svislando . <end>","<start> Gorgier estas komunumo en la distrikto Boudry en Kantono Neŭŝatelo , Svislando . <end>"
http://www.wikidata.org/entity/Q1785542,6,"<start> Vila Lângaro estas municipo en la brazila subŝtato Suda Rio-Grando , kiu havis 0 loĝantojn en <year> . <end>","<start> Vila Lângaro estas municipo en la brazila subŝtato Suda Rio-Grando , kiu havis 0  loĝantojn en <year>  . <end>"
http://www.wikidata.org/entity/Q697005,5,<start> Hübitz estas komunumo en Germanio . <end>,<start> Hübitz estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q437129,15,"<start> Evelyn Thomas ( naskiĝis la 0 - an de aŭgusto <year> en \u0108ikago , Kalifornio ) estas usona kantistino . <end>","<start> Evelyn Thomas ( naskiĝinta la 0  - an de aŭgusto <year>  ) estas kantistino el Chicago , Illinois , plej multe konata pro sia danca furorkanto "" High Energy "" . <end>"
http://www.wikidata.org/entity/Q930544,8,"<start> 3261 Tvardovskij estas malbone konata asteroido de la asteroida zono , malkovrita la 0 - an de septembro <year> de la rusa astronomo Nikolaj Stepanoviĉ Ĉerniĥ elde la Krimea astrofizika observatorio de Nauĉno en Ukrainio . <end>","<start> 0  Tvardovskij estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de septembro <year>  de la rusa astronomo Nikolaj Stepanoviĉ Ĉerniĥ elde la Krimea astrofizika observatorio de Nauĉno en Ukrainio . Ĝia nomo honoras la rusan sovetan verkiston Aleksandr Trifonoviĉ Tvardovskij ( cirile Александр Трифонович Твардовский , <year>  – <year>  ) . <end>"
http://www.wikidata.org/entity/Q39467,12,<start> Cuveglio estas komunumo de Italio . <end>,<start> Cuveglio estas komunumo de Italio . <end>
http://www.wikidata.org/entity/Q24981,7,"<start> En la jaro 854 post Kristo okazis , interalie : <end>","<start> En la jaro 0  post Kristo okazis , interalie : <end>"
http://www.wikidata.org/entity/Q680529,5,<start> Liešno ( hungare <rare> [ <rare> ] ) estas vilaĝo kaj municipo en Slovakio . <end>,<start> Liešno ( hungare Turócerdőd germane Liexen ) estas vilaĝo kaj municipo en Slovakio . <end>
http://www.wikidata.org/entity/Q948367,4,<start> Janowiec Wielkopolski estas urbo en Grandpollando en Pollando . <end>,<start> Janowiec Wielkopolski estas urbo en Kujavio-Pomerio en Pollando . <end>
http://www.wikidata.org/entity/Q463141,13,<start> La Doñana aŭ en hispana origine <rare> de <rare> estas la plej granda <rare> de la mondo . <end>,"<start> La Nacia Parko "" Doñana "" ( Prononcu Donjana ) estas grava naturrezervejo en Hispanio , grandas 0  Ha . <end>"
http://www.wikidata.org/entity/Q67891,11,"<start> Lüterswil-Gächliwil estas komunumo en la Kantono Soloturno en Kantono Friburgo , Svislando . <end>","<start> Lüterswil-Gächliwil estas komunumo en la distrikto Bucheggberg en Kantono Soloturno , Svislando . <end>"
http://www.wikidata.org/entity/Q776171,13,"<start> Fernando Yáñez de la Almedina ( naskiĝis la 0 - an de januaro <year> , mortis la 0 - an de marto <year> ) estis hispana pentristo de la 0 - a jarcento . <end>",<start> Hernando aŭ Fernando Yáñez de la Almedina ( fl . <end>
http://www.wikidata.org/entity/Q372863,5,<start> La Concentus Musicus Wien ( <rare> ) estas la <rare> de la <rare> <rare> <rare> . <end>,<start> Concentus Musicus Wien estas instrumenta ensemblo specialiĝinta pri la prezentado de antikva muziko . <end>
http://www.wikidata.org/entity/Q8170,20,<start> La distriktaro Tübingen ( germane : Bezirk <rare> ) troviĝas en la sudo de la federacia lando Bavario de Germanio . <end>,<start> La distriktaro Tübingen estas unu el kvar administraj distriktaroj de la germana federacia lando Baden-Virtembergo . <end>
http://www.wikidata.org/entity/Q163759,7,"<start> korno estas <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <PAD> <PAD>",<start> La korno estas latuna blovinstrumento . <end>
